no.,tradeId,conn_1,conn_2,conn_3,conn_4,conn_5,winner
1,394586593,30.520751953125,30.59814453125,30.453125,30.561767578125,29.947998046875,5
2,394586594,29.076904296875,29.175048828125,29.1376953125,29.210693359375,28.645263671875,5
3,394586596,30.475830078125,31.0908203125,30.968994140625,31.047119140625,31.1279296875,1
4,394586597,29.958984375,30.025146484375,30.06298828125,30.10205078125,29.692138671875,5
5,394586607,28.001953125,29.187255859375,28.47607421875,28.52294921875,28.257080078125,1
6,394586608,28.580078125,28.948974609375,28.739013671875,28.994140625,28.4599609375,5
7,394586609,30.029052734375,30.1640625,30.089111328125,30.129150390625,29.589111328125,5
8,394586611,75.113037109375,75.8359375,75.77001953125,75.898193359375,75.677978515625,1
9,394586612,75.219970703125,75.863037109375,75.798828125,75.925048828125,75.727294921875,1
10,394586613,74.737060546875,74.8359375,74.7978515625,74.873046875,74.294921875,5
11,394586614,29.886962890625,30.27197265625,30.10009765625,30.424072265625,29.083984375,5
WINS:,nil,4 wins,0 wins,0 wins,0 wins,7 wins,OVERALL WINNER: 5
